0	0.796727453
1	0.037044791
2	0.026709272
3	0.020924467
4	0.012627403
5	0.007107046
6	0.007393532
7	0.00541017
8	0.006093328
9	0.006974822
10	0.004440527
11	0.005894992
12	0.004506639
13	0.004209134
14	0.004594788
15	0.003294584
16	0.00341579
17	0.002853837
18	0.001564652
19	0.002809763
20	0.002148642
21	0.002192717
22	0.002291885
23	0.00374635
24	0.001685858
25	0.002203735
26	0.002170679
27	0.003140323
28	0.001267148
29	0.001421409
30	0.002192717
31	0.001443447
32	0.001123905
33	0.001035756
34	0.00107983
35	0.001950306
36	0.000991681
37	0.00116798
38	0.000705195
39	0.000528896
40	0.000341579
41	0.000572971
